,type,price,square_meter,location,rooms,link,created,fetched
13,Lejlighed,14550,88,"København, Marmorvej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/88m2-2-vaer-id-5268674,1 time siden,2022-03-31
14,Lejlighed,11545,66,"København, Elstarvej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/66m2-2-vaer-id-5268672,2 timer siden,2022-03-31
15,Lejlighed,11495,66,"København, Elstarvej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/66m2-2-vaer-id-5268671,2 timer siden,2022-03-31
16,Lejlighed,11495,68,"København, Ingrid Marievej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/68m2-2-vaer-id-5268669,2 timer siden,2022-03-31
17,Lejlighed,13195,92,"København, Dieselvej",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/92m2-3-vaer-id-5199512,2 timer siden,2022-03-31
18,Lejlighed,19995,136,"Rødovre, Nørregårdsbakken",5,www.boligportal.dk/lejligheder/r%C3%B8dovre/136m2-5-vaer-id-5267019,22. marts,2022-03-31
19,Lejlighed,17495,146,"Rødovre, Nørregårdsbakken",4,www.boligportal.dk/lejligheder/r%C3%B8dovre/146m2-4-vaer-id-5261554,23. februar,2022-03-31
20,Lejlighed,13800,88,"Søborg, Buddinge Hovedgade",3,www.boligportal.dk/lejligheder/s%C3%B8borg/88m2-3-vaer-id-5201072,3. marts,2022-03-31
21,Lejlighed,24500,191,"Hellerup, Gersonsvej",6,www.boligportal.dk/lejligheder/hellerup/191m2-6-vaer-id-5258482,8. februar,2022-03-31
22,Rækkehus,16995,150,"Rødovre, Nørregårdsbakken",4,www.boligportal.dk/r%C3%A6kkehuse/r%C3%B8dovre/150m2-4-vaer-id-5239317,8. november,2022-03-31
23,Lejlighed,6995,39,"Vanløse, Godthåbsvej",1,www.boligportal.dk/lejligheder/vanl%C3%B8se/39m2-1-vaer-id-5261843,24. februar,2022-03-31
24,Lejlighed,11945,74,"København, Elstarvej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/74m2-2-vaer-id-5268668,2 timer siden,2022-03-31
25,Lejlighed,20550,136,"København, Marmorvej",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/136m2-4-vaer-id-5268663,2 timer siden,2022-03-31
26,Lejlighed,10567,68,"København, Ingrid Marievej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/68m2-2-vaer-id-5268662,2 timer siden,2022-03-31
27,Lejlighed,10200,52,"København, Ingrid Marievej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/52m2-2-vaer-id-5193322,2 timer siden,2022-03-31
28,Lejlighed,13300,103,"København, Ingrid Marievej",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/103m2-4-vaer-id-5268661,2 timer siden,2022-03-31
29,Lejlighed,14673,111,"København, Paradisæblevej",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/111m2-4-vaer-id-5152152,2 timer siden,2022-03-31
30,Lejlighed,11943,85,"København, Retortvej",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/85m2-4-vaer-id-5199819,2 timer siden,2022-03-31
31,Lejlighed,16720,133,"København, Rubinolavej",5,www.boligportal.dk/lejligheder/k%C3%B8benhavn/133m2-5-vaer-id-5205814,2 timer siden,2022-03-31
32,Lejlighed,12311,92,"København, Paradisæblevej",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/92m2-3-vaer-id-5184232,2 timer siden,2022-03-31
33,Lejlighed,15950,95,"København, A. C. Meyers Vænge",4,www.boligportal.dk/lejligheder/k%C3%B8benhavn/95m2-4-vaer-id-1711562,2 timer siden,2022-03-31
34,Lejlighed,15500,83,"København, Serridslevvej",3,www.boligportal.dk/lejligheder/k%C3%B8benhavn/83m2-3-vaer-id-5268658,2 timer siden,2022-03-31
35,Værelse,4000,10,"København, Else Alfelts Vej",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/10m2-1-vaer-id-5268577,3 timer siden,2022-03-31
36,Lejlighed,7200,31,"København, Dortheavej",1,www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5268635,3 timer siden,2022-03-31
37,Værelse,5500,15,"København, Vermlandsgade",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/15m2-1-vaer-id-5152787,3 timer siden,2022-03-31
38,Lejlighed,8500,54,"København, Gyldenlakvej",2,www.boligportal.dk/lejligheder/k%C3%B8benhavn/54m2-2-vaer-id-5268404,3 timer siden,2022-03-31
39,Lejlighed,21000,129,"København, Jacob Erlandsens Gade",5,www.boligportal.dk/lejligheder/k%C3%B8benhavn/129m2-5-vaer-id-5268613,4 timer siden,2022-03-31
40,Værelse,5300,8,"København, C.F. Møllers Allé",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/8m2-1-vaer-id-5177927,12 timer siden,2022-03-31
41,Værelse,5104,13,"København, Ejler Billes Allé",1,www.boligportal.dk/v%C3%A6relser/k%C3%B8benhavn/13m2-1-vaer-id-5194505,16 timer siden,2022-03-31
42,Lejlighed,19995,136,"Rødovre, Nørregårdsbakken",5,www.boligportal.dk/lejligheder/r%C3%B8dovre/136m2-5-vaer-id-5267019,22. marts,2022-03-31
43,Lejlighed,17495,146,"Rødovre, Nørregårdsbakken",4,www.boligportal.dk/lejligheder/r%C3%B8dovre/146m2-4-vaer-id-5261554,23. februar,2022-03-31
44,Lejlighed,13800,88,"Søborg, Buddinge Hovedgade",3,www.boligportal.dk/lejligheder/s%C3%B8borg/88m2-3-vaer-id-5201072,3. marts,2022-03-31
